test,duration,code,usperexec,kexecspersec
1,0.035000,1,0.350000,2857.142857
2,0.014000,1,0.140000,7142.857143
3,0.016000,1,0.160000,6250.000000
4,0.018000,1,0.180000,5555.555556
5,0.023000,1,0.230000,4347.826087
6,0.026000,1,0.260000,3846.153846
7,0.029000,1,0.290000,3448.275862
8,0.053000,1,0.530000,1886.792453
9,0.037000,1,0.370000,2702.702703
10,0.039000,1,0.390000,2564.102564
11,0.042000,1,0.420000,2380.952381
12,0.045000,1,0.450000,2222.222222
13,0.049000,1,0.490000,2040.816327
14,0.053000,1,0.530000,1886.792453
15,0.056000,1,0.560000,1785.714286
16,0.058000,1,0.580000,1724.137931
17,0.061000,1,0.610000,1639.344262
18,0.064000,1,0.640000,1562.500000
19,0.084000,1,0.840000,1190.476190
20,0.069000,1,0.690000,1449.275362
21,0.072000,1,0.720000,1388.888889
22,0.074000,1,0.740000,1351.351351
23,0.094000,1,0.940000,1063.829787
24,0.080000,1,0.800000,1250.000000
25,0.084000,1,0.840000,1190.476190
26,0.198000,1,1.980000,505.050505
27,0.089000,1,0.890000,1123.595506
28,0.091000,1,0.910000,1098.901099
29,0.093000,1,0.930000,1075.268817
30,0.096000,1,0.960000,1041.666667
31,0.100000,1,1.000000,1000.000000
32,0.102000,1,1.020000,980.392157
33,0.105000,1,1.050000,952.380952
34,0.108000,1,1.080000,925.925926
35,0.110000,1,1.100000,909.090909
36,0.114000,1,1.140000,877.192982
37,0.116000,1,1.160000,862.068966
38,0.120000,1,1.200000,833.333333
39,0.123000,1,1.230000,813.008130
40,0.126000,1,1.260000,793.650794
41,0.129000,1,1.290000,775.193798
42,0.132000,1,1.320000,757.575758
43,0.149000,1,1.490000,671.140940
44,0.139000,1,1.390000,719.424460
45,0.141000,1,1.410000,709.219858
46,0.143000,1,1.430000,699.300699
47,0.147000,1,1.470000,680.272109
48,0.157000,1,1.570000,636.942675
49,0.152000,1,1.520000,657.894737
50,0.164000,1,1.640000,609.756098
51,0.158000,1,1.580000,632.911392
52,0.170000,1,1.700000,588.235294
53,0.165000,1,1.650000,606.060606
54,0.167000,1,1.670000,598.802395
55,0.170000,1,1.700000,588.235294
56,0.182000,1,1.820000,549.450549
57,0.176000,1,1.760000,568.181818
58,0.194000,1,1.940000,515.463918
59,0.182000,1,1.820000,549.450549
60,0.184000,1,1.840000,543.478261
61,0.188000,1,1.880000,531.914894
62,0.191000,1,1.910000,523.560209
63,0.229000,1,2.290000,436.681223
64,0.188000,1,1.880000,531.914894
65,0.215000,1,2.150000,465.116279
66,0.201000,1,2.010000,497.512438
67,0.247000,1,2.470000,404.858300
68,0.226000,1,2.260000,442.477876
69,0.211000,1,2.110000,473.933649
70,0.288000,1,2.880000,347.222222
71,0.234000,1,2.340000,427.350427
72,0.214000,1,2.140000,467.289720
73,0.265000,1,2.650000,377.358491
74,0.261000,1,2.610000,383.141762
75,0.219000,1,2.190000,456.621005
76,0.277000,1,2.770000,361.010830
77,0.235000,1,2.350000,425.531915
78,0.239000,1,2.390000,418.410042
79,0.244000,1,2.440000,409.836066
80,0.283000,1,2.830000,353.356890
81,0.235000,1,2.350000,425.531915
82,0.238000,1,2.380000,420.168067
83,0.240000,1,2.400000,416.666667
84,0.258000,1,2.580000,387.596899
85,0.252000,1,2.520000,396.825397
86,0.264000,1,2.640000,378.787879
87,0.265000,1,2.650000,377.358491
88,0.269000,1,2.690000,371.747212
89,0.286000,1,2.860000,349.650350
90,0.273000,1,2.730000,366.300366
91,0.276000,1,2.760000,362.318841
92,0.279000,1,2.790000,358.422939
93,0.283000,1,2.830000,353.356890
94,0.293000,1,2.930000,341.296928
95,0.305000,1,3.050000,327.868852
96,0.284000,1,2.840000,352.112676
97,0.294000,1,2.940000,340.136054
98,0.310000,1,3.100000,322.580645
99,0.307000,1,3.070000,325.732899
100,0.314000,-2,3.140000,318.471338
