test,duration,code,usperexec,kexecspersec
1,2.812000,0,28.120001,35.561878
2,3.579000,0,35.790001,27.940765
3,4.604000,0,46.040001,21.720243
4,5.630000,0,56.299999,17.761990
5,6.654000,0,66.540001,15.028554
6,7.686000,0,76.860001,13.010669
7,8.704000,0,87.040001,11.488971
8,9.730000,0,97.300003,10.277493
9,10.755000,0,107.550003,9.298001
10,11.779000,0,117.790001,8.489685
11,12.804000,0,128.039993,7.810060
12,13.829000,0,138.289993,7.231181
13,14.855000,0,148.550003,6.731740
14,15.880000,0,158.800003,6.297229
15,16.905001,0,169.050003,5.915410
16,17.929001,0,179.289993,5.577556
17,18.954000,0,189.539993,5.275931
18,19.980000,0,199.800003,5.005005
19,21.004999,0,210.050003,4.760771
20,22.030001,0,220.300003,4.539265
21,23.054001,0,230.539993,4.337642
22,24.079000,0,240.789993,4.152997
23,25.104000,0,251.039993,3.983429
24,26.129999,0,261.299988,3.827019
25,27.155001,0,271.549988,3.682563
26,28.180000,0,281.799988,3.548616
27,29.205000,0,292.049988,3.424071
28,30.229000,0,302.290009,3.308082
29,31.254000,0,312.540009,3.199590
30,32.279999,0,322.799988,3.097893
31,33.305000,0,333.049988,3.002552
32,34.328999,0,343.290009,2.912989
33,35.355000,0,353.549988,2.828454
34,36.379002,0,363.790009,2.748839
35,37.403999,0,374.040009,2.673511
36,38.429001,0,384.290009,2.602201
37,39.453999,0,394.540009,2.534597
38,40.480000,0,404.799988,2.470356
39,41.504002,0,415.040009,2.409406
40,42.529999,0,425.299988,2.351281
41,43.555000,0,435.549988,2.295948
42,44.580002,0,445.799988,2.243158
43,45.604000,0,456.040009,2.192790
44,46.630001,0,466.299988,2.144542
45,47.654999,0,476.549988,2.098416
46,48.679001,0,486.790009,2.054274
47,49.705002,0,497.049988,2.011870
48,50.729000,0,507.290009,1.971259
49,51.755001,0,517.549988,1.932181
50,52.778999,0,527.789978,1.894693
51,53.805000,0,538.049988,1.858563
52,54.828999,0,548.289978,1.823852
53,55.855000,0,558.549988,1.790350
54,56.880001,0,568.799988,1.758087
55,57.904999,0,579.049988,1.726967
56,58.929001,0,589.289978,1.696957
57,59.953999,0,599.539978,1.667945
58,60.979000,0,609.789978,1.639909
59,62.005001,0,620.049988,1.612773
60,63.029999,0,630.299988,1.586546
61,64.060997,0,640.609985,1.561012
62,65.080002,0,650.799988,1.536570
63,66.103996,0,661.039978,1.512768
64,67.128998,0,671.289978,1.489669
65,68.154999,0,681.549988,1.467244
66,69.179001,0,691.789978,1.445525
67,70.204002,0,702.039978,1.424420
68,71.230003,0,712.299988,1.403903
69,72.254997,0,722.549988,1.383987
70,73.278999,0,732.789978,1.364647
71,74.305000,0,743.049988,1.345804
72,75.330002,0,753.299988,1.327492
73,76.353996,0,763.539978,1.309689
74,77.379997,0,773.799988,1.292324
75,78.404999,0,784.049988,1.275429
76,79.430000,0,794.299988,1.258970
77,80.455002,0,804.549988,1.242931
78,81.478996,0,814.789978,1.227310
79,82.504997,0,825.049988,1.212048
80,83.528999,0,835.289978,1.197189
81,84.554001,0,845.539978,1.182676
82,85.579002,0,855.789978,1.168511
83,86.603996,0,866.039978,1.154681
84,87.628998,0,876.289978,1.141175
85,88.654999,0,886.549988,1.127968
86,89.680000,0,896.799988,1.115076
87,90.710999,0,907.109985,1.102402
88,91.730003,0,917.299988,1.090156
89,92.753998,0,927.539978,1.078121
90,93.778999,0,937.789978,1.066337
91,94.804001,0,948.039978,1.054808
92,95.830002,0,958.299988,1.043515
93,96.853996,0,968.539978,1.032482
94,97.879997,0,978.799988,1.021659
95,98.903999,0,989.039978,1.011081
96,99.929001,0,999.289978,1.000710
97,100.954002,0,1009.539978,0.990550
98,101.978996,0,1019.789978,0.980594
99,103.003998,0,1030.040039,0.970836
100,104.029999,0,1040.300049,0.961261
