test,duration,code,usperexec,kexecspersec
1,3.163000,1,31.629999,31.615555
2,4.498000,1,44.980000,22.232103
3,5.832000,1,58.320000,17.146776
4,7.167000,1,71.669998,13.952840
5,8.501000,1,85.010002,11.763322
6,9.835000,1,98.349998,10.167768
7,11.170000,1,111.699997,8.952552
8,12.505000,1,125.050003,7.996801
9,13.840000,1,138.399994,7.225433
10,15.174000,1,151.740005,6.590220
11,16.509001,1,165.089996,6.057302
12,17.843000,1,178.429993,5.604439
13,19.177999,1,191.779999,5.214308
14,20.511999,1,205.119995,4.875195
15,21.847000,1,218.470001,4.577288
16,23.183001,1,231.830002,4.313506
17,24.518999,1,245.190002,4.078470
18,25.855000,1,258.549988,3.867724
19,27.191000,1,271.910004,3.677687
20,28.527000,1,285.269989,3.505451
21,29.863001,1,298.630005,3.348625
22,31.198999,1,311.989990,3.205231
23,32.535000,1,325.350006,3.073613
24,33.872002,1,338.720001,2.952291
25,35.208000,1,352.079987,2.840264
26,36.543999,1,365.440002,2.736427
27,37.879002,1,378.790009,2.639985
28,39.216000,1,392.160004,2.549980
29,40.551998,1,405.519989,2.465970
30,41.888000,1,418.880005,2.387319
31,43.224998,1,432.250000,2.313476
32,44.561001,1,445.609985,2.244115
33,45.896999,1,458.970001,2.178792
34,47.233002,1,472.329987,2.117164
35,48.569000,1,485.690002,2.058927
36,49.904999,1,499.049988,2.003807
37,51.241001,1,512.409973,1.951562
38,52.577000,1,525.770020,1.901972
39,53.912998,1,539.130005,1.854840
40,55.249001,1,552.489990,1.809988
41,56.585999,1,565.859985,1.767222
42,57.921001,1,579.210022,1.726490
43,59.257999,1,592.580017,1.687536
44,60.594002,1,605.940002,1.650328
45,61.930000,1,619.299988,1.614726
46,63.265999,1,632.659973,1.580628
47,64.601997,1,646.020020,1.547940
48,65.938004,1,659.380005,1.516576
49,67.275002,1,672.750000,1.486436
50,68.610001,1,686.099976,1.457513
51,69.945999,1,699.460022,1.429674
52,71.281998,1,712.820007,1.402879
53,72.619003,1,726.190002,1.377050
54,73.955002,1,739.549988,1.352174
55,75.290001,1,752.900024,1.328198
56,76.626999,1,766.270020,1.305023
57,77.962997,1,779.630005,1.282660
58,79.300003,1,793.000000,1.261034
59,80.636002,1,806.359985,1.240141
60,81.972000,1,819.719971,1.219929
61,83.306999,1,833.070007,1.200379
62,84.643997,1,846.440002,1.181419
63,85.980003,1,859.799988,1.163061
64,87.316002,1,873.159973,1.145265
65,88.652000,1,886.520020,1.128006
66,89.987999,1,899.880005,1.111259
67,91.323997,1,913.239990,1.095002
68,92.661003,1,926.609985,1.079203
69,93.997002,1,939.969971,1.063864
70,95.332001,1,953.320007,1.048966
71,96.668999,1,966.690002,1.034458
72,98.004997,1,980.049988,1.020356
73,99.339996,1,993.400024,1.006644
74,100.677002,1,1006.770020,0.993276
75,102.013000,1,1020.130005,0.980267
76,103.348999,1,1033.489990,0.967595
77,104.684998,1,1046.849976,0.955247
78,106.021004,1,1060.209961,0.943209
79,107.357002,1,1073.569946,0.931472
80,108.693001,1,1086.930054,0.920022
81,110.029999,1,1100.300049,0.908843
82,111.365997,1,1113.660034,0.897940
83,112.702003,1,1127.020020,0.887296
84,114.038002,1,1140.380005,0.876901
85,115.374001,1,1153.739990,0.866746
86,116.709999,1,1167.099976,0.856825
87,118.045998,1,1180.459961,0.847127
88,119.383003,1,1193.829956,0.837640
89,120.719002,1,1207.189941,0.828370
90,122.055000,1,1220.550049,0.819303
91,123.390999,1,1233.910034,0.810432
92,124.726997,1,1247.270020,0.801751
93,126.063004,1,1260.630005,0.793254
94,127.399002,1,1273.989990,0.784936
95,128.735992,1,1287.359985,0.776783
96,130.072006,1,1300.719971,0.768805
97,131.406998,1,1314.069946,0.760994
98,132.744003,1,1327.439941,0.753330
99,134.080002,1,1340.800049,0.745823
100,133.475006,-2,1334.750000,0.749204
