test,duration,code,usperexec,kexecspersec
1,0.023000,0,0.230000,4347.826087
2,0.468000,0,4.680000,213.675214
3,0.032000,0,0.320000,3125.000000
4,0.036000,0,0.360000,2777.777778
5,0.041000,0,0.410000,2439.024390
6,0.046000,0,0.460000,2173.913043
7,0.056000,0,0.560000,1785.714286
8,0.060000,0,0.600000,1666.666667
9,0.065000,0,0.650000,1538.461538
10,0.070000,0,0.700000,1428.571429
11,0.075000,0,0.750000,1333.333333
12,0.081000,0,0.810000,1234.567901
13,0.086000,0,0.860000,1162.790698
14,0.091000,0,0.910000,1098.901099
15,0.150000,0,1.500000,666.666667
16,0.102000,0,1.020000,980.392157
17,0.106000,0,1.060000,943.396226
18,0.112000,0,1.120000,892.857143
19,0.117000,0,1.170000,854.700855
20,0.123000,0,1.230000,813.008130
21,0.127000,0,1.270000,787.401575
22,0.158000,0,1.580000,632.911392
23,0.138000,0,1.380000,724.637681
24,0.143000,0,1.430000,699.300699
25,0.148000,0,1.480000,675.675676
26,0.153000,0,1.530000,653.594771
27,0.158000,0,1.580000,632.911392
28,0.190000,0,1.900000,526.315789
29,0.195000,0,1.950000,512.820513
30,0.099000,0,0.990000,1010.101010
31,0.050000,0,0.500000,2000.000000
32,0.052000,0,0.520000,1923.076923
33,0.053000,0,0.530000,1886.792453
34,0.055000,0,0.550000,1818.181818
35,0.057000,0,0.570000,1754.385965
36,0.058000,0,0.580000,1724.137931
37,0.059000,0,0.590000,1694.915254
38,0.060000,0,0.600000,1666.666667
39,0.062000,0,0.620000,1612.903226
40,0.063000,0,0.630000,1587.301587
41,0.066000,0,0.660000,1515.151515
42,0.067000,0,0.670000,1492.537313
43,0.068000,0,0.680000,1470.588235
44,0.069000,0,0.690000,1449.275362
45,0.071000,0,0.710000,1408.450704
46,0.072000,0,0.720000,1388.888889
47,0.074000,0,0.740000,1351.351351
48,0.076000,0,0.760000,1315.789474
49,0.077000,0,0.770000,1298.701299
50,0.078000,0,0.780000,1282.051282
51,0.080000,0,0.800000,1250.000000
52,0.080000,0,0.800000,1250.000000
53,0.090000,0,0.900000,1111.111111
54,0.084000,0,0.840000,1190.476190
55,0.085000,0,0.850000,1176.470588
56,0.087000,0,0.870000,1149.425287
57,0.089000,0,0.890000,1123.595506
58,0.090000,0,0.900000,1111.111111
59,0.091000,0,0.910000,1098.901099
60,0.093000,0,0.930000,1075.268817
61,0.094000,0,0.940000,1063.829787
62,0.095000,0,0.950000,1052.631579
63,0.097000,0,0.970000,1030.927835
64,0.106000,0,1.060000,943.396226
65,0.100000,0,1.000000,1000.000000
66,0.102000,0,1.020000,980.392157
67,0.104000,0,1.040000,961.538462
68,0.105000,0,1.050000,952.380952
69,0.107000,0,1.070000,934.579439
70,0.107000,0,1.070000,934.579439
71,0.117000,0,1.170000,854.700855
72,0.110000,0,1.100000,909.090909
73,0.113000,0,1.130000,884.955752
74,0.114000,0,1.140000,877.192982
75,0.115000,0,1.150000,869.565217
76,0.116000,0,1.160000,862.068966
77,0.126000,0,1.260000,793.650794
78,0.119000,0,1.190000,840.336134
79,0.121000,0,1.210000,826.446281
80,0.123000,0,1.230000,813.008130
81,0.124000,0,1.240000,806.451613
82,0.125000,0,1.250000,800.000000
83,0.136000,0,1.360000,735.294118
84,0.152000,0,1.520000,657.894737
85,0.130000,0,1.300000,769.230769
86,0.132000,0,1.320000,757.575758
87,0.132000,0,1.320000,757.575758
88,0.133000,0,1.330000,751.879699
89,0.136000,0,1.360000,735.294118
90,0.138000,0,1.380000,724.637681
91,0.138000,0,1.380000,724.637681
92,0.141000,0,1.410000,709.219858
93,0.142000,0,1.420000,704.225352
94,0.151000,0,1.510000,662.251656
95,0.144000,0,1.440000,694.444444
96,0.146000,0,1.460000,684.931507
97,0.147000,0,1.470000,680.272109
98,0.149000,0,1.490000,671.140940
99,0.149000,0,1.490000,671.140940
100,0.152000,0,1.520000,657.894737
